
date,value
1980-01-01,78.7
1980-02-01,80.4
1980-03-01,81.7
1980-04-01,82.8
1980-05-01,84.3
1980-06-01,84.7
1980-07-01,84.2
1980-08-01,83.7
1980-09-01,84.5
1980-10-01,85.5
1980-11-01,86.5
1980-12-01,87.6
1980-13-01,83.7
1981-01-01,87.8
1981-02-01,88.5
1981-03-01,89.1
1981-04-01,89.9
1981-05-01,90.5
1981-06-01,90.7
1981-07-01,92.1
1981-08-01,93.0
1981-09-01,94.5
1981-10-01,95.2
1981-11-01,95.3
1981-12-01,95.5
1981-13-01,91.9
1982-01-01,96.7
1982-02-01,96.6
1982-03-01,96.9
1982-04-01,97.0
1982-05-01,97.2
1982-06-01,98.2
1982-07-01,97.9
1982-08-01,97.9
1982-09-01,97.5
1982-10-01,98.0
1982-11-01,97.6
1982-12-01,96.6
1982-13-01,97.3
1983-01-01,96.7
1983-02-01,97.1
1983-03-01,97.2
1983-04-01,98.0
1983-05-01,98.8
1983-06-01,99.4
1983-07-01,99.7
1983-08-01,99.9
1983-09-01,100.3
1983-10-01,100.5
1983-11-01,100.4
1983-12-01,100.8
1983-13-01,99.1
1984-01-01,101.2
1984-02-01,101.6
1984-03-01,101.8
1984-04-01,102.5
1984-05-01,103.4
1984-06-01,103.4
1984-07-01,103.5
1984-08-01,104.5
1984-09-01,105.0
1984-10-01,105.5
1984-11-01,105.5
1984-12-01,105.3
1984-13-01,103.6
1985-01-01,105.9
1985-02-01,106.3
1985-03-01,106.5
1985-04-01,106.9
1985-05-01,108.0
1985-06-01,108.1
1985-07-01,108.8
1985-08-01,109.6
1985-09-01,109.6
1985-10-01,110.4
1985-11-01,110.0
1985-12-01,110.4
1985-13-01,108.4
1986-01-01,110.6
1986-02-01,110.5
1986-03-01,111.1
1986-04-01,110.6
1986-05-01,111.5
1986-06-01,112.1
1986-07-01,112.0
1986-08-01,112.0
1986-09-01,113.3
1986-10-01,113.8
1986-11-01,113.0
1986-12-01,112.7
1986-13-01,111.9
1987-01-01,113.4
1987-02-01,114.7
1987-03-01,115.5
1987-04-01,116.0
1987-05-01,116.8
1987-06-01,116.5
1987-07-01,116.5
1987-08-01,117.3
1987-09-01,118.0
1987-10-01,118.6
1987-11-01,118.2
1987-12-01,118.5
1987-13-01,116.7
1988-01-01,118.9
1988-02-01,119.7
1988-03-01,120.6
1988-04-01,121.1
1988-05-01,122.0
1988-06-01,122.0
1988-07-01,122.1
1988-08-01,122.6
1988-09-01,123.4
1988-10-01,124.0
1988-11-01,124.1
1988-12-01,124.2
1988-13-01,122.1
1989-01-01,124.6
1989-02-01,125.5
1989-03-01,126.2
1989-04-01,127.2
1989-05-01,128.3
1989-06-01,128.7
1989-07-01,129.0
1989-08-01,128.9
1989-09-01,130.1
1989-10-01,130.0
1989-11-01,130.0
1989-12-01,130.6
1989-13-01,128.3
1990-01-01,132.1
1990-02-01,133.6
1990-03-01,134.5
1990-04-01,134.2
1990-05-01,134.6
1990-06-01,135.0
1990-07-01,135.6
1990-08-01,136.3
1990-09-01,137.7
1990-10-01,138.7
1990-11-01,138.9
1990-12-01,139.2
1990-13-01,135.9
1991-01-01,140.0
1991-02-01,139.9
1991-03-01,139.7
1991-04-01,140.7
1991-05-01,140.8
1991-06-01,140.8
1991-07-01,141.5
1991-08-01,141.7
1991-09-01,142.6
1991-10-01,142.9
1991-11-01,143.5
1991-12-01,143.1
1991-13-01,141.4
1992-01-01,144.3
1992-02-01,144.9
1992-03-01,145.5
1992-04-01,145.8
1992-05-01,146.0
1992-06-01,146.2
1992-07-01,146.7
1992-08-01,146.9
1992-09-01,147.4
1992-10-01,148.4
1992-11-01,148.2
1992-12-01,148.2
1992-13-01,146.5
1993-01-01,149.2
1993-02-01,150.0
1993-03-01,149.8
1993-04-01,149.9
1993-05-01,150.1
1993-06-01,149.7
1993-07-01,149.8
1993-08-01,149.9
1993-09-01,150.2
1993-10-01,150.9
1993-11-01,151.6
1993-12-01,151.9
1993-13-01,150.3
1994-01-01,152.2
1994-02-01,152.2
1994-03-01,152.5
1994-04-01,152.0
1994-05-01,151.4
1994-06-01,151.3
1994-07-01,151.7
1994-08-01,152.0
1994-09-01,152.7
1994-10-01,153.4
1994-11-01,152.9
1994-12-01,153.4
1994-13-01,152.3
1995-01-01,154.3
1995-02-01,154.5
1995-03-01,154.6
1995-04-01,154.7
1995-05-01,155.1
1995-06-01,154.8
1995-07-01,154.5
1995-08-01,154.4
1995-09-01,154.6
1995-10-01,155.2
1995-11-01,154.4
1995-12-01,154.6
1995-13-01,154.6
1996-01-01,155.7
1996-02-01,156.2
1996-03-01,157.3
1996-04-01,157.7
1996-05-01,157.5
