Ex-Date,Pay Date,Amount
2025-01-01,2025-01-01,2.94
2025-06-30,2025-07-31,0.98
2025-03-31,2025-04-30,0.98
2024-12-31,2025-01-30,0.98
2024-01-01,2024-01-01,3.92
2024-09-30,2024-10-31,0.98
2024-06-28,2024-07-31,0.98
2024-03-27,2024-04-30,0.98
2023-12-28,2024-01-30,0.98
2023-01-01,2023-01-01,3.92
2023-09-28,2023-10-31,0.98
2023-06-29,2023-07-31,0.98
2023-03-30,2023-04-28,0.98
2022-12-29,2023-01-30,0.98
2022-01-01,2022-01-01,3.92
2022-09-29,2022-10-31,0.98
2022-06-29,2022-07-29,0.98
2022-03-30,2022-04-29,0.98
2021-12-30,2022-01-28,0.98
2021-01-01,2021-01-01,3.92
2021-09-29,2021-10-29,0.98
2021-06-29,2021-07-30,0.98
2021-03-30,2021-04-30,0.98
2020-12-30,2021-01-28,0.98
2020-01-01,2020-01-01,3.92
2020-09-29,2020-10-30,0.98
2020-06-29,2020-07-31,0.98
2020-03-30,2020-04-30,0.98
2019-12-30,2020-01-30,0.98
2019-01-01,2019-01-01,3.8
2019-09-27,2019-10-31,0.95
2019-06-27,2019-07-31,0.95
2019-03-28,2019-04-30,0.95
2018-12-28,2019-01-30,0.95
2018-01-01,2018-01-01,3.35
2018-09-27,2018-10-31,0.95
2018-06-28,2018-07-31,0.8
2018-03-28,2018-04-30,0.8
2017-12-28,2018-01-30,0.8
2017-01-01,2017-01-01,3.0
2017-09-28,2017-10-31,0.75
2017-06-28,2017-07-31,0.75
2017-03-29,2017-04-28,0.75
2016-12-28,2017-01-30,0.75
2016-01-01,2016-01-01,3.85
2016-09-28,2016-10-31,0.65
2016-06-28,2016-07-29,0.65
2016-03-29,2016-04-29,0.65
2015-12-29,2016-01-28,1.9
2015-01-01,2015-01-01,7.75
2015-09-28,2015-10-30,0.65
2015-06-26,2015-07-31,0.65
2015-03-27,2015-04-30,0.65
2014-12-29,2015-01-28,5.15
2014-12-29,2015-01-08,0.65
