Ex-Date,Pay Date,Amount
2025-01-01,2025-01-01,0.72
2025-09-17,2025-10-03,0.18
2025-06-17,2025-07-03,0.18
2025-03-19,2025-04-03,0.18
2024-12-19,2025-01-06,0.18
2024-01-01,2024-01-01,0.72
2024-09-19,2024-10-03,0.18
2024-06-20,2024-07-03,0.18
2024-03-19,2024-04-03,0.18
2023-12-20,2024-01-04,0.18
2023-01-01,2023-01-01,0.71
2023-09-19,2023-10-04,0.18
2023-06-21,2023-07-06,0.18
2023-03-21,2023-04-05,0.18
2022-12-21,2023-01-05,0.17
2022-01-01,2022-01-01,0.68
2022-09-20,2022-10-05,0.17
2022-06-21,2022-07-06,0.17
2022-03-22,2022-04-05,0.17
2021-12-21,2022-01-05,0.17
2021-01-01,2021-01-01,1.07
2021-09-21,2021-10-05,0.17
2021-06-22,2021-07-06,0.3
2021-03-19,2021-04-05,0.3
2020-12-22,2021-01-06,0.3
2020-01-01,2020-01-01,1.2
2020-09-18,2020-10-05,0.3
2020-06-19,2020-07-06,0.3
2020-03-16,2020-03-31,0.3
2019-12-20,2020-01-06,0.3
2019-01-01,2019-01-01,1.2
2019-09-13,2019-09-30,0.3
2019-06-13,2019-06-28,0.3
2019-03-14,2019-03-29,0.3
2018-12-19,2019-01-04,0.3
2018-01-01,2018-01-01,1.2
2018-09-13,2018-09-28,0.3
2018-06-14,2018-06-29,0.3
2018-03-14,2018-03-29,0.3
2017-12-19,2018-01-05,0.3
2017-01-01,2017-01-01,1.5
2017-09-14,2017-09-30,0.3
2017-09-14,2017-09-29,0.3
2017-06-13,2017-06-30,0.3
2017-03-13,2017-03-31,0.3
2016-12-19,2017-01-06,0.3
2016-01-01,2016-01-01,1.2
2016-09-13,2016-09-30,0.3
2016-06-13,2016-06-30,0.3
2016-03-11,2016-03-31,0.3
2015-12-18,2016-01-05,0.3
2015-01-01,2015-01-01,0.9
2015-09-11,2015-09-30,0.3
2015-06-11,2015-06-30,0.3
2015-03-12,2015-03-31,0.3
