Ex-Date,Pay Date,Amount
2025-01-01,2025-01-01,1.7075
2025-09-30,2025-10-15,0.43
2025-06-30,2025-07-15,0.43
2025-03-31,2025-04-15,0.43
2024-12-31,2025-01-15,0.4175
2024-01-01,2024-01-01,1.6325
2024-09-30,2024-10-15,0.4175
2024-06-28,2024-07-15,0.4175
2024-03-27,2024-04-15,0.4175
2023-12-28,2024-01-16,0.38
2023-01-01,2023-01-01,1.455
2023-09-28,2023-10-16,0.38
2023-06-29,2023-07-17,0.38
2023-03-30,2023-04-17,0.38
2022-12-29,2023-01-17,0.315
2022-01-01,2022-01-01,1.185
2022-09-29,2022-10-15,0.315
2022-06-29,2022-07-15,0.315
2022-03-30,2022-04-15,0.315
2021-12-30,2022-01-18,0.24
2021-01-01,2021-01-01,0.935
2021-09-29,2021-10-15,0.24
2021-06-29,2021-07-15,0.24
2021-03-30,2021-04-15,0.24
2020-12-30,2021-01-15,0.215
2020-01-01,2020-01-01,0.83
2020-09-29,2020-10-15,0.215
2020-06-29,2020-07-15,0.215
2020-03-30,2020-04-15,0.215
2019-12-30,2020-01-15,0.185
2019-01-01,2019-01-01,0.715
2019-09-27,2019-10-15,0.185
2019-06-27,2019-07-15,0.185
2019-03-28,2019-04-15,0.185
2018-12-28,2019-01-15,0.16
2018-01-01,2018-01-01,0.625
2018-09-27,2018-10-15,0.16
2018-06-28,2018-07-16,0.16
2018-03-28,2018-04-16,0.16
2017-12-28,2018-01-15,0.145
2017-01-01,2017-01-01,0.57
2017-09-28,2017-10-16,0.145
2017-06-28,2017-07-17,0.145
2017-03-29,2017-04-17,0.145
2016-12-28,2017-01-17,0.135
2016-01-01,2016-01-01,0.54
2016-09-28,2016-10-17,0.135
2016-06-28,2016-07-15,0.135
2016-03-29,2016-04-15,0.135
2015-12-29,2016-01-15,0.135
2015-01-01,2015-01-01,0.495
2015-09-28,2015-10-15,0.135
2015-06-26,2015-07-15,0.12
2015-03-27,2015-04-15,0.12
2014-12-29,2015-01-15,0.12
