Ex-Date,Pay Date,Amount
2025-01-01,2025-01-01,2.3175
2025-08-29,2025-09-15,0.2575
2025-07-31,2025-08-15,0.2575
2025-06-30,2025-07-15,0.2575
2025-05-30,2025-06-16,0.2575
2025-04-30,2025-05-15,0.2575
2025-03-31,2025-04-15,0.2575
2025-02-28,2025-03-17,0.2575
2025-01-31,2025-02-18,0.2575
2024-12-31,2025-01-15,0.2575
2024-01-01,2024-01-01,3.0
2024-11-29,2024-12-16,0.25
2024-10-31,2024-11-15,0.25
2024-09-30,2024-10-15,0.25
2024-08-30,2024-09-16,0.25
2024-07-31,2024-08-15,0.25
2024-06-28,2024-07-15,0.25
2024-05-31,2024-06-17,0.25
2024-04-29,2024-05-15,0.25
2024-03-27,2024-04-15,0.25
2024-02-28,2024-03-15,0.25
2024-01-30,2024-02-15,0.25
2023-12-28,2024-01-16,0.25
2023-01-01,2023-01-01,3.2496
2023-11-29,2023-12-15,0.2708
2023-10-30,2023-11-15,0.2708
2023-09-28,2023-10-16,0.2708
2023-08-30,2023-09-15,0.2708
2023-07-28,2023-08-15,0.2708
2023-06-29,2023-07-17,0.2708
2023-05-30,2023-06-15,0.2708
2023-04-27,2023-05-15,0.2708
2023-03-30,2023-04-17,0.2708
2023-02-27,2023-03-15,0.2708
2023-01-30,2023-02-15,0.2708
2022-12-29,2023-01-17,0.2708
2022-01-01,2022-01-01,3.7296
2022-11-29,2022-12-15,0.3108
2022-10-28,2022-11-15,0.3108
2022-09-29,2022-10-17,0.3108
2022-08-30,2022-09-15,0.3108
2022-07-28,2022-08-15,0.3108
2022-06-29,2022-07-15,0.3108
2022-05-27,2022-06-15,0.3108
2022-04-28,2022-05-16,0.3108
2022-03-30,2022-04-18,0.3108
2022-02-25,2022-03-15,0.3108
2022-01-28,2022-02-15,0.3108
2021-12-14,2022-01-18,0.3108
2021-01-01,2021-01-01,5.3363
2021-11-29,2021-12-15,0.3033
2021-10-28,2021-11-15,0.3033
2021-09-29,2021-10-15,0.3033
2021-08-30,2021-09-15,0.3033
2021-07-29,2021-08-16,0.3033
2021-06-29,2021-07-15,0.3033
2021-05-27,2021-06-15,0.3033
2021-04-29,2021-05-17,0.3033
2021-03-30,2021-04-15,0.3033
2021-02-25,2021-03-15,0.3033
2021-01-28,2021-02-16,0.3033
2020-12-14,2021-01-15,2.0
2020-01-01,2020-01-01,3.54
2020-11-27,2020-12-15,0.295
2020-10-29,2020-11-16,0.295
2020-09-29,2020-10-15,0.295
2020-08-28,2020-09-15,0.295
2020-07-30,2020-08-17,0.295
2020-06-29,2020-07-15,0.295
2020-05-28,2020-06-15,0.295
2020-04-29,2020-05-15,0.295
2020-03-30,2020-04-15,0.295
2019-12-31,2020-01-15,0.885
2019-01-01,2019-01-01,3.4
2019-09-27,2019-10-15,0.85
2019-06-27,2019-07-15,0.85
2019-03-28,2019-04-15,0.85
2018-12-31,2019-01-15,0.85
2018-01-01,2018-01-01,3.25
2018-09-27,2018-10-15,0.8125
2018-06-28,2018-07-16,0.8125
2018-03-29,2018-04-16,0.8125
2017-12-29,2018-01-16,0.8125
2017-01-01,2017-01-01,3.1
2017-09-29,2017-10-16,0.775
2017-06-28,2017-07-17,0.775
2017-03-29,2017-04-17,0.775
2016-12-29,2017-01-17,0.775
2016-01-01,2016-01-01,2.88
2016-09-28,2016-10-17,0.72
2016-06-28,2016-07-15,0.72
2016-03-29,2016-04-15,0.72
2015-12-30,2016-01-15,0.72
2015-01-01,2015-01-01,2.4
2015-09-28,2015-10-15,0.6
2015-06-26,2015-07-15,0.6
2015-03-27,2015-04-15,0.6
2014-12-30,2015-01-15,0.6
