Ex-Date,Pay Date,Amount
2025-01-01,2025-01-01,1.99
2025-09-29,2025-10-10,0.52
2025-06-27,2025-07-11,0.49
2025-03-27,2025-04-04,0.49
2024-12-13,2025-01-07,0.49
2024-01-01,2024-01-01,1.84
2024-09-30,2024-10-11,0.49
2024-06-28,2024-07-12,0.45
2024-03-27,2024-04-05,0.45
2023-12-14,2024-01-05,0.45
2023-01-01,2023-01-01,1.65
2023-09-28,2023-10-13,0.45
2023-06-29,2023-07-14,0.4
2023-03-30,2023-04-06,0.4
2022-12-29,2023-01-13,0.4
2022-01-01,2022-01-01,1.42
2022-09-29,2022-10-14,0.4
2022-06-29,2022-07-14,0.34
2022-03-24,2022-04-08,0.34
2021-12-14,2022-01-05,0.34
2021-01-01,2021-01-01,1.21
2021-09-30,2021-10-15,0.34
2021-06-29,2021-07-14,0.29
2021-03-25,2021-04-09,0.29
2020-12-14,2021-01-05,0.29
2020-01-01,2020-01-01,1.1
2020-10-01,2020-10-16,0.29
2020-06-29,2020-07-14,0.27
2020-03-26,2020-04-10,0.27
2019-12-30,2020-01-14,0.27
2019-01-01,2019-01-01,0.99
2019-10-03,2019-10-18,0.27
2019-07-03,2019-07-19,0.24
2019-03-28,2019-04-12,0.24
2018-12-17,2019-01-11,0.24
2018-01-01,2018-01-01,0.9
2018-10-04,2018-10-19,0.24
2018-07-05,2018-07-20,0.22
2018-03-27,2018-04-12,0.22
2017-12-28,2018-01-12,0.22
2017-01-01,2017-01-01,0.82
2017-10-05,2017-10-20,0.22
2017-07-05,2017-07-21,0.2
2017-03-24,2017-04-12,0.2
2016-12-28,2017-01-13,0.2
2016-01-01,2016-01-01,0.74
2016-10-05,2016-10-21,0.2
2016-07-05,2016-07-21,0.18
2016-03-23,2016-04-12,0.18
2015-12-29,2016-01-14,0.18
2015-01-01,2015-01-01,0.64
2015-10-05,2015-10-21,0.16
2015-07-02,2015-07-21,0.16
2015-04-02,2015-04-21,0.16
2014-12-29,2015-01-14,0.16
