Date,Open,High,Low,Close,Volume
2005-02-28,34.3414,35.3336,34.3414,35.0123,1380777.571776
2005-03-31,35.0123,36.8532,34.3482,35.2632,13213204.605818
2005-04-30,36.0055,39.0173,34.4468,38.9167,17085466.97043
2005-05-31,38.9167,40.3025,38.0007,39.1062,16491736.526077
2005-06-30,39.0925,41.0819,38.9167,40.9783,13926284.24892
2005-07-31,41.033,44.8847,40.8348,44.581,11856811.513902
2005-08-31,44.7256,44.8779,40.3855,41.6522,18606415.879107
2005-09-30,42.0028,43.8017,41.1278,43.0048,15520123.440573
2005-10-31,43.0634,43.5322,39.0642,41.9901,15001635.305326
2005-11-30,41.9901,45.8594,40.1346,45.625,21633050.613534
2005-12-31,45.6396,46.3253,44.5518,44.9668,15577877.611125
2006-01-31,45.1153,49.1017,44.2695,47.4688,18884212.999161
2006-02-28,47.4688,52.2747,46.6778,51.3558,16285193.407871
2006-03-31,51.5003,58.9498,51.1175,56.56,39511052.089718
2006-04-30,56.5005,56.5005,51.7884,53.5394,25837932.683725
2006-05-31,53.683,55.0454,49.6711,51.348,23377168.608314
2006-06-30,51.3831,55.1528,51.3831,54.8344,22784666.910741
2006-07-31,54.8344,59.9235,54.644,59.565,18580894.808475
2006-08-31,58.2926,62.2908,57.438,61.6433,20816710.162864
2006-09-30,61.7361,64.2606,60.2428,62.6854,25776867.0406
2006-10-31,62.9265,64.911,62.0564,64.8026,22725265.195548
2006-11-30,64.9305,71.7004,61.7995,70.9962,25996134.855675
2006-12-31,70.8439,71.8878,67.6856,71.2706,24859768.32997
2007-01-31,71.3488,80.6246,69.4786,80.3257,24680949.834955
2007-02-28,78.686,84.7361,74.5325,76.4711,60649661.1425
2007-03-31,75.1742,76.7621,72.0852,74.7894,35985625.00698
2007-04-30,74.7952,76.4096,73.1203,74.887,24460483.991769
2007-05-31,74.9934,75.1742,67.7871,73.6966,38017471.467667
2007-06-30,73.6966,75.1742,62.3914,65.0614,42292478.116623
2007-07-31,65.2694,68.9561,58.733,60.195,37924485.031094
2007-08-31,59.5856,67.4355,58.1285,63.7459,48190407.369572
2007-09-30,63.3875,67.8027,60.0642,66.1904,27151946.299181
2007-10-31,66.415,72.3713,62.4295,69.0186,32584268.582494
2007-11-30,68.5742,68.672,55.9155,62.699,39947956.558517
2007-12-31,62.6365,66.9628,57.647,62.1384,35922753.106087
2008-01-31,61.9744,64.2157,54.0648,62.0672,64287931.209785
2008-02-29,61.5271,65.3309,56.7095,58.3209,42852700.636271
2008-03-31,57.6031,66.8135,55.8013,62.3113,52670580.94034
2008-04-30,62.5037,70.3214,62.5037,68.0137,35108021.289743
2008-05-31,68.71,72.1008,64.7742,66.1513,30219184.970971
2008-06-30,65.7157,68.3555,60.2634,61.0602,38128464.164352
2008-07-31,60.567,69.8927,58.69,65.1005,63953317.862555
2008-08-31,65.5526,71.1496,63.3806,69.3497,49761172.744598
2008-09-30,70.7111,76.9535,55.4965,63.3875,80785856.523813
2008-10-31,62.2664,62.5408,39.0046,47.9718,122202194.15582
2008-11-30,47.6602,49.4436,25.3947,36.1412,113109116.7631
2008-12-31,34.522,43.244,28.8176,37.2243,121921595.49311
2009-01-31,37.4254,38.4314,26.7336,29.305,117440925.30385
2009-02-28,28.552,32.4184,23.9854,25.1007,129203508.32298
2009-03-31,23.9932,28.9681,19.8329,23.7071,185627410.98748
2009-04-30,23.4697,34.7261,22.8711,33.4487,176808621.6188
2009-05-31,32.933,35.6861,29.9964,32.7026,116241591.64938
2009-06-30,33.4057,35.9987,29.7913,32.2827,122816848.10994
2009-07-31,32.4985,36.8102,28.846,35.8013,86010878.985694
2009-08-31,36.1558,42.6229,35.8824,41.0008,72625094.846639
2009-09-30,40.8915,48.8839,37.8005,44.3642,72857908.571013
2009-10-31,44.1532,45.5157,38.7077,41.1278,65477229.074928
2009-11-30,41.245,45.8272,39.9851,45.3301,54771513.688763
2009-12-31,45.6474,48.548,45.0811,45.3926,52959863.770925
2010-01-31,45.7452,47.1173,42.8769,43.9053,45490476.94893
2010-02-28,44.4707,46.5284,41.6229,45.9746,44608288.982246
2010-03-31,46.1856,52.9378,45.9131,51.0569,41340088.7745
2010-04-30,51.3343,56.4585,50.6712,53.3714,42022150.753039
2010-05-31,54.059,55.8217,48.0109,51.8968,62897129.112191
2010-06-30,51.5374,55.3638,47.9933,48.2843,58989670.320006
2010-07-31,48.4308,55.8754,46.3389,55.4272,45584836.51003
2010-08-31,56.689,58.2564,53.6117,55.0873,41515340.831985
2010-09-30,56.0386,60.4089,55.6255,56.2514,38337514.949947
2010-10-31,56.7808,61.8923,55.979,58.3345,34012543.361072
2010-11-30,58.6021,61.2576,54.8344,56.7163,31125682.668752
2010-12-31,57.5963,59.1061,54.893,58.271,26696201.046415
2011-01-31,58.773,64.2576,56.7808,63.869,37752569.021119
2011-02-28,64.3211,65.37,62.3025,64.9198,28641337.918667
2011-03-31,65.0351,65.075,60.7897,64.5409,36861510.526635
2011-04-30,65.0038,71.1613,63.4774,71.1281,27654266.174708
2011-05-31,71.5754,73.7287,69.6485,73.7287,30008014.59718
2011-06-30,73.2718,73.6243,68.0449,72.5862,41347936.370605
2011-07-31,72.4768,77.1547,71.9796,73.4026,27895541.868577
2011-08-31,74.3694,74.513,60.8678,71.3078,61987870.829976
2011-09-30,71.3273,71.6056,61.1941,61.2507,47486667.225958
2011-10-31,60.7331,68.795,56.0386,68.0469,51034276.259951
2011-11-30,66.5381,69.1817,60.7682,65.5654,32576850.023807
2011-12-31,65.2646,70.339,63.1395,68.8399,24990889.946832
2012-01-31,70.3214,72.3586,66.8564,71.9152,29811719.227124
2012-02-29,72.0461,74.5569,69.793,70.1896,26421367.254013
2012-03-31,70.175,73.5129,69.9991,72.9504,31554209.132418
2012-04-30,72.9504,75.2493,68.7335,75.2191,26457790.380455
2012-05-31,75.2864,76.5551,69.8097,71.5187,31024638.725167
2012-06-30,70.3205,75.6956,69.0177,75.6956,27369350.514972
2012-07-31,76.306,78.2924,75.1068,77.4633,20457897.671747
2012-08-31,77.683,79.5142,76.7191,78.3217,22146458.9048
2012-09-30,78.3012,81.7281,77.3803,77.6537,22261776.790153
2012-10-31,77.6986,78.3159,73.9993,74.6223,20848263.356232
2012-11-30,74.7279,75.8177,69.6593,72.0461,26962163.287061
2012-12-31,72.2873,75.0257,71.5774,74.7445,22748099.406552
2013-01-31,75.4095,77.4487,74.2591,74.3636,23191803.964825
2013-02-28,74.6038,76.1752,72.7531,73.3782,26423138.697289
2013-03-31,73.1584,74.804,70.9864,71.8488,30768468.572406
2013-04-30,71.7053,78.8423,71.0958,77.8002,38380564.093403
2013-05-31,77.4116,82.3551,75.7523,75.7689,36305259.930955
2013-06-30,75.9896,80.4722,70.8009,75.4525,35496570.476905
2013-07-31,76.0395,80.0064,73.801,76.5219,25241835.877864
2013-08-31,76.4974,76.8764,70.2658,73.3361,27411509.840968
2013-09-30,73.763,80.7936,72.1096,76.9535,25431055.714376
2013-10-31,77.0629,79.062,74.0608,74.5062,29600698.350857
2013-11-30,74.8411,75.5726,71.0597,71.6233,20897191.029077
2013-12-31,71.879,75.7465,70.5734,74.3265,26639555.819832
2014-01-31,74.2151,80.4391,73.7209,80.0474,24790616.509072
2014-02-28,79.9293,83.6511,78.3647,83.2507,19304690.147459
2014-03-31,82.9206,85.7976,81.4166,85.3191,22273167.272808
2014-04-30,85.3621,88.6367,84.7703,87.2625,23634437.465488
2014-05-31,87.3934,90.1865,86.7596,89.8974,19528069.14447
2014-06-30,89.7265,91.1758,84.615,88.5204,23331964.038214
2014-07-31,88.6533,91.3858,87.5956,89.4579,17987411.137434
2014-08-31,89.496,92.9152,88.1942,90.9278,13930302.250892
2014-09-30,90.8194,92.3595,84.9138,87.202,21318697.252804
2014-10-31,86.9667,95.5969,86.6727,95.4827,29477399.755165
2014-11-30,95.6838,98.8029,94.9485,97.6703,23271655.098314
2014-12-31,97.5335,103.657,96.6858,100.757,24985558.20976
2015-01-31,101.294,114.36,101.244,108.696,21373643.736962
2015-02-28,109.204,112.71,106.157,107.603,20613207.168983
2015-03-31,107.847,114.224,104.673,110.523,22763310.26774
2015-04-30,110.523,112.593,103.432,104.096,16817227.452418
