Date,Open,High,Low,Close,Volume
2005-02-28,16.99,17.3569,16.8994,17.1955,538812.75299533
2005-03-31,17.2556,17.9836,16.2638,16.9318,5429726.8160227
2005-04-30,17.3707,17.6963,16.8994,17.5536,4781390.0453587
2005-05-31,17.4651,18.7736,17.3756,18.3142,3291803.8424735
2005-06-30,18.3437,19.1642,17.5782,18.3732,6135124.7521924
2005-07-31,18.4913,19.8392,18.3683,18.934,4720109.693583
2005-08-31,18.8888,19.0431,17.3274,18.268,4857148.3757493
2005-09-30,18.3102,19.115,17.3707,18.3191,4655217.9785652
2005-10-31,18.3732,18.5149,16.6997,17.5782,5787197.9063764
2005-11-30,17.4327,18.6664,16.982,18.4253,4236982.8810817
2005-12-31,18.4509,18.8444,17.8734,17.8734,4800069.9309937
2006-01-31,17.8114,19.4978,17.7022,19.421,5111352.5697734
2006-02-28,19.3747,19.8775,18.7255,19.6817,5944105.6931458
2006-03-31,19.7545,21.5599,19.3855,21.3906,7087440.1210347
2006-04-30,21.5264,22.6421,20.154,21.9475,6605192.5174286
2006-05-31,22.0232,23.0661,20.392,20.5809,7817625.6494876
2006-06-30,20.154,21.7762,19.844,21.6111,12516503.210574
2006-07-31,21.4988,22.9559,21.1408,21.8363,8246079.8986838
2006-08-31,21.7192,23.9339,21.2194,23.9221,7784834.7151928
2006-09-30,23.9093,24.6678,23.0622,23.437,10111976.656513
2006-10-31,23.4665,25.5818,23.2029,24.8233,7657012.9882412
2006-11-30,24.8783,25.3919,22.9697,25.2473,8412001.3553743
2006-12-31,25.1833,25.264,22.5889,23.5571,8586723.0324278
2007-01-31,23.6151,25.269,22.9009,25.1755,12913718.608692
2007-02-28,25.1755,25.5237,23.2029,23.5393,12453677.890566
2007-03-31,23.3682,23.9535,21.493,22.0331,17109607.367659
2007-04-30,22.159,23.2225,21.5983,22.2918,9895294.8619941
2007-05-31,22.2673,22.5417,20.9921,22.1364,11870200.309273
2007-06-30,21.8658,21.9977,19.5352,20.0211,19547917.904674
2007-07-31,20.1342,20.6823,17.1277,17.5714,21306156.80383
2007-08-31,17.5478,19.6649,17.0598,19.2852,18663032.267741
2007-09-30,19.24,20.5475,18.2798,19.54,10729398.816143
2007-10-31,19.7624,21.0886,19.24,20.7393,13319060.336425
2007-11-30,20.2995,20.6035,18.627,18.8661,15228573.986863
2007-12-31,18.8238,19.849,17.412,18.4981,15493142.681585
2008-01-31,18.4371,18.6979,15.1885,18.5266,24367426.991874
2008-02-29,18.5916,19.7083,17.8527,18.7963,15129198.987481
2008-03-31,18.8808,22.2525,17.5478,19.6817,18782931.966798
2008-04-30,19.9473,21.3847,19.3491,20.9223,18265664.405652
2008-05-31,20.9784,21.487,19.6729,19.8392,17867586.061462
2008-06-30,19.8332,20.2877,17.592,17.6963,17941695.748121
2008-07-31,17.6235,20.7659,16.926,20.1716,27773308.442595
2008-08-31,20.1854,21.6553,19.6985,20.818,16313302.281015
2008-09-30,21.2263,22.9894,19.4377,21.5707,36127435.491289
2008-10-31,21.3079,21.5353,13.816,17.654,44419061.460018
2008-11-30,17.5084,17.6737,11.6309,15.5889,39854161.104576
2008-12-31,14.8757,17.8921,12.2557,16.6642,57019531.661141
2009-01-31,16.6997,16.9368,12.6375,14.0207,38595751.954075
2009-02-28,13.8003,15.3332,9.63966,10.0981,54696716.647296
2009-03-31,9.90725,11.2945,8.61488,10.1867,62571161.55279
2009-04-30,9.85708,14.0453,9.76657,12.5607,70753119.171293
2009-05-31,12.4878,13.2257,11.1942,12.8745,47173072.025244
2009-06-30,13.1608,13.759,12.0707,13.1746,33879000.533544
2009-07-31,13.3093,15.4098,12.1602,15.0665,26638371.730187
2009-08-31,15.2023,17.0126,14.6208,15.8772,28128279.123836
2009-09-30,15.6764,17.8075,14.794,16.9604,28289544.330875
2009-10-31,16.8935,17.2822,15.3302,15.7237,25571026.361497
2009-11-30,15.8359,17.0037,14.8314,15.3724,23757241.788699
2009-12-31,15.4601,17.0362,15.3233,16.2225,20512980.277856
2010-01-31,16.4183,17.0066,15.3164,15.4226,16861794.463268
2010-02-28,15.5171,16.62,14.486,16.4075,14803004.355984
2010-03-31,16.4783,18.2374,16.3534,17.9895,16584187.04981
2010-04-30,18.0663,19.4043,17.6678,18.5218,15619094.183835
2010-05-31,18.6909,19.0668,16.0012,17.3008,23284737.649219
2010-06-30,17.168,17.5271,15.7424,16.2481,22171465.050557
2010-07-31,16.3002,18.3545,15.5703,17.8734,15597134.289986
2010-08-31,18.2728,18.6909,17.2054,18.0465,20296415.37238
2010-09-30,18.325,19.1494,18.1095,18.6861,16950347.570042
2010-10-31,18.8888,20.0851,18.4981,18.8622,17766613.239671
2010-11-30,18.9674,19.5607,17.5478,18.0701,18639438.976558
2010-12-31,18.268,18.5474,17.1699,18.2462,16532002.6985
2011-01-31,18.3506,18.6909,17.6963,18.0653,13877480.972421
2011-02-28,18.1027,18.4431,17.5654,18.3949,15336328.406051
2011-03-31,18.4883,18.5966,17.3559,18.573,23512433.440949
2011-04-30,18.6791,19.478,17.962,19.3511,10827651.680704
2011-05-31,19.4505,20.6331,18.6979,20.6243,16411685.248164
2011-06-30,20.6252,20.6252,18.6526,19.6975,21277669.419202
2011-07-31,19.7762,20.5937,19.2311,19.3964,10046604.171776
2011-08-31,19.6699,19.6807,15.4148,18.7421,23213331.656965
2011-09-30,18.8169,18.867,16.5325,17.3205,21343511.492968
2011-10-31,17.2526,19.2056,16.2668,17.8006,26654374.348505
2011-11-30,16.9456,17.9944,15.7424,16.7233,20416619.999378
2011-12-31,16.6131,17.4405,16.2058,17.0824,15826793.817653
2012-01-31,17.4543,18.7421,16.8738,18.6103,18039862.216433
2012-02-29,18.7363,19.3669,18.266,18.5021,15972686.590785
2012-03-31,18.5158,19.0845,18.2316,18.8277,12387467.870419
2012-04-30,18.8474,19.2547,18.0663,18.7363,12197262.968973
2012-05-31,18.7874,19.3393,17.6058,17.837,15066872.732869
2012-06-30,17.595,18.3181,17.1621,18.3181,15654468.874212
2012-07-31,18.3535,18.7343,16.4803,17.1926,18552526.382104
2012-08-31,17.3176,17.4513,16.6968,17.2958,16361145.474879
2012-09-30,17.3096,18.7491,17.2408,17.4592,14339655.169704
2012-10-31,17.5271,17.7012,16.4065,16.7381,12182698.594109
2012-11-30,16.682,16.9782,15.585,16.8748,14960837.09084
2012-12-31,16.9073,17.5074,16.8748,17.2162,12745495.962477
2013-01-31,17.4483,18.87,17.3893,18.7519,16871330.576394
2013-02-28,18.813,18.9959,17.7869,18.2316,19315470.319205
2013-03-31,18.1528,18.7401,17.9108,18.5306,15442655.762476
2013-04-30,18.4686,19.5588,18.3555,19.0087,12947731.287602
2013-05-31,18.937,20.3537,18.5011,18.5139,13113231.943734
2013-06-30,18.5562,18.7825,16.863,18.1155,12415758.068312
2013-07-31,18.2188,19.3619,17.6776,18.0957,8154488.6931959
2013-08-31,18.1961,18.2492,16.2698,16.3986,10144905.824808
2013-09-30,16.5462,17.654,16.1566,17.2162,9674960.0307478
2013-10-31,17.2664,18.5316,16.9791,17.8616,15074648.395352
2013-11-30,17.7987,18.0495,15.9569,16.1763,11479582.53536
2013-12-31,16.1359,16.3819,15.5191,16.1261,14293257.334277
2014-01-31,16.011,16.2638,15.3942,16.0858,11274851.883256
2014-02-28,16.0651,17.4583,15.4463,17.3628,15707116.715992
2014-03-31,17.2073,17.7347,16.1123,16.6928,11082069.324287
2014-04-30,16.7902,17.285,16.3632,17.0981,9580205.7060905
2014-05-31,17.0637,18.3496,16.7971,18.0545,10054983.591581
2014-06-30,18.021,18.8386,17.9226,18.3713,11457606.378688
2014-07-31,18.4185,19.2891,18.0741,19.178,8638372.7434161
2014-08-31,19.1121,19.7348,18.5748,19.6413,8361981.9924413
2014-09-30,19.7289,20.1087,18.1095,18.1449,11942388.949907
2014-10-31,18.1863,20.2819,18.1233,20.2032,14325086.729133
2014-11-30,20.1658,20.3035,18.7923,19.2094,8134928.5822393
2014-12-31,19.1602,20.5839,19.0353,19.9935,10454490.014959
2015-01-31,20.0507,21.794,19.9119,20.7502,8463804.5467594
2015-02-28,20.817,20.9902,20.0271,20.4846,8805441.7455894
2015-03-31,20.5337,20.9617,19.1711,20.1972,7503066.0517741
2015-04-30,20.213,20.5484,17.9,18.0701,8455085.640514
2015-05-31,18.0781,19.0943,17.7475,18.3122,8773939.6400564
2015-06-30,18.3486,20.1156,18.1361,19.1976,18046958.906034
2015-07-31,19.178,20.1067,18.3476,19.8558,18831303.702426
2015-08-31,19.8804,20.1786,18.1627,18.199,11115538.215036
2015-09-30,17.7799,19.1376,17.594,18.6752,9969279.5281975
2015-10-31,18.7283,20.7758,18.5493,20.2356,10866625.537206
2015-11-30,20.1952,20.883,19.4092,20.6055,9098589.3033211
2015-12-31,20.6517,21.0798,20.0389,20.4944,11838932.998254
2016-01-31,20.4097,20.5681,18.1459,19.1061,11748129.523279
2016-02-29,19.0077,19.9552,18.0919,19.5912,12543266.735911
2016-03-31,19.7279,22.6077,19.7103,22.3686,10409763.184646
2016-04-30,22.3243,22.7828,21.7626,21.9533,13401502.687271
2016-05-31,21.9701,22.7828,21.3493,22.6912,15382251.570316
2016-06-30,22.6539,24.3402,22.5309,24.3304,12113636.481291
2016-07-31,24.5015,26.6975,24.0844,26.5164,11232172.135851
2016-08-31,26.4564,26.7653,24.7327,25.1361,12559226.664317
2016-09-30,25.1361,25.6752,23.3012,24.2978,15124492.932932
2016-10-31,24.1513,24.2211,22.4344,22.9756,14399229.957866
2016-11-30,22.9175,24.659,21.5913,24.2546,11189172.214108
2016-12-31,23.9978,25.8888,23.745,25.7629,12580304.299991
2017-01-31,25.8888,26.4564,24.7613,24.7859,9253395.120154
2017-02-28,24.8271,26.5017,24.533,25.7805,6990082.728192
2017-03-31,25.7303,26.1121,23.7696,24.897,10024506.043928
2017-04-30,24.8892,26.1976,24.7691,25.2079,10230155.54556
2017-05-31,25.265,26.242,24.35,25.7185,9001631.3660804
2017-06-30,25.6851,26.5646,25.3742,25.6212,13014335.681219
2017-07-31,25.7048,26.906,24.8203,26.8539,13820931.069429
2017-08-31,26.9326,27.2809,25.9704,26.3964,10405719.840155
2017-09-30,26.4407,27.0034,25.9792,26.5578,8760251.4248074
2017-10-31,26.6542,27.3586,25.2434,26.0933,6952363.1419522
2017-11-30,26.1652,26.971,26.0107,26.1986,6821484.0041838
2017-12-31,26.2075,26.6787,25.2306,25.4588,9785222.990459
2018-01-31,25.0505,25.1479,23.0406,23.4488,9665134.2360785
2018-02-28,23.441,23.5472,20.6753,20.6833,10450576.773056
2018-03-31,20.5996,22.8034,20.3881,22.5899,15221608.416276
2018-04-30,22.6214,24.0716,22.0419,23.7636,11204294.607104
2018-05-31,23.738,24.3933,22.83,23.7302,9130303.8419861
2018-06-30,23.6072,25.5198,23.5325,25.3604,11742135.656395
2018-07-31,25.3082,26.178,24.6746,25.4933,9909433.3541686
2018-08-31,25.3506,26.6316,25.142,26.3885,9370994.6461136
2018-09-30,26.3374,26.6217,25.2916,25.873,7217890.3268334
2018-10-31,25.8927,25.9418,23.3366,23.5305,10319530.941347
2018-11-30,23.5777,24.6255,22.6155,22.7611,8886592.2183947
2018-12-31,22.7946,23.1242,19.3954,19.6512,11635861.154146
2019-01-31,19.419,21.6759,19.2498,21.6592,10661300.275618
2019-02-28,21.7182,23.2304,20.9145,22.6303,10073040.407791
2019-03-31,22.6922,24.7347,22.2387,24.5103,41417924.078268
2019-04-30,24.5714,25.5886,23.3878,24.3894,19303185.788908
2019-05-31,24.4327,24.6756,22.4709,22.9825,13756107.454984
2019-06-30,23.0424,25.0348,22.8369,23.3406,12093514.286498
2019-07-31,23.4803,24.6786,23.0534,23.5325,8765932.2323389
2019-08-31,23.4901,23.5511,21.9878,23.132,7187926.074547
2019-09-30,23.069,24.9688,23.0534,24.1483,7200112.0114758
2019-10-31,24.1316,27.6616,23.7016,27.3773,9371531.3192889
2019-11-30,27.3871,27.7246,26.4869,27.4225,6515859.8115533
2019-12-31,27.3871,27.4648,25.6182,26.0186,9829893.9173158
2020-01-31,26.1367,27.7482,25.6812,27.1451,7575064.6206584
2020-02-29,27.2061,28.7271,23.6082,23.9427,7253067.8304759
2020-03-31,23.9427,26.0098,17.6058,21.5293,19971829.743983
2020-04-30,20.4462,23.1959,17.8114,21.0315,17741387.56758
2020-05-31,20.4284,20.878,16.2432,19.7781,9619181.5954451
2020-06-30,19.8676,23.1507,18.936,20.2867,12162538.791536
2020-07-31,20.3517,22.102,19.0431,20.4334,10495297.50481
2020-08-31,20.4786,21.9603,19.8854,20.0497,7799238.4946755
2020-09-30,19.8755,20.6153,17.351,18.6585,11631266.906509
2020-10-31,18.6585,20.0998,15.711,16.2009,7101325.5230186
2020-11-30,16.4616,23.3386,16.2009,21.5136,12545488.644171
2020-12-31,21.8196,22.2555,19.7131,20.3261,10784586.707667
2021-01-31,20.3458,21.8314,19.4898,20.6183,9108600.0876078
2021-02-28,20.7492,22.4316,20.3359,21.1634,7720063.9549248
2021-03-31,21.5018,23.4646,21.0266,21.0266,11484229.637173
2021-04-30,21.1122,22.5112,21.0167,22.093,10590120.946467
2021-05-31,22.1679,22.8064,21.246,22.5014,10264509.743763
2021-06-30,22.5505,25.7353,21.4388,22.1708,25971730.135255
2021-07-31,22.2397,24.4749,22.162,23.4164,13081080.341688
2021-08-31,23.377,24.2595,22.345,24.2349,11054538.396965
