Date,Open,High,Low,Close,Volume
1993-08-31,4.58406,4.58406,4.32668,4.543,15440553.430663
1993-09-30,4.56078,5.1286,4.51962,4.95295,4025289.7066286
1993-10-31,4.95295,5.8487,4.81237,5.5088,4026454.2048663
1993-11-30,5.4917,5.80784,4.89459,5.16986,2623773.3249131
1993-12-31,5.1286,5.21074,4.70127,5.14579,2473321.9848455
1994-01-31,5.10513,5.10513,4.58406,4.70127,3737631.158112
1994-02-28,4.68368,5.40948,4.60145,5.31016,2915514.7426882
1994-03-31,5.28677,5.46802,4.87682,4.93517,2285409.2250695
1994-04-30,4.89459,5.4917,4.67179,5.3687,2014000.7201436
1994-05-31,5.3687,5.81972,5.24561,5.6145,1648813.4620277
1994-06-30,5.65546,5.81972,5.023,5.023,1345814.8886481
1994-07-31,5.06416,5.59131,4.91788,5.52657,9590870.5972033
1994-08-31,5.52657,5.65546,5.27469,5.56754,2127231.8870782
1994-09-30,5.48541,5.59131,5.27469,5.43875,2010406.4515443
1994-10-31,5.43875,5.52657,4.97054,5.11712,5457174.6551497
1994-11-30,5.11712,5.11712,4.4145,4.64861,3595865.7126798
1994-12-31,4.60745,5.24561,4.47866,5.23382,3424533.8198575
1995-01-31,5.23382,5.23382,4.61914,4.64242,2369814.9889471
1995-02-28,4.68957,4.84165,4.36145,4.73044,6126558.5761783
1995-03-31,4.73044,4.7714,4.46686,4.62493,3301058.3257682
1995-04-30,4.64861,4.80069,4.4261,4.75981,2263548.4172422
1995-05-31,4.7774,5.26908,4.68957,5.09343,4111192.8279431
1995-06-30,5.06996,5.31016,4.87092,5.05257,3679722.8187338
1995-07-31,5.06996,5.43265,5.02899,5.34523,1759305.4115166
1995-08-31,5.34523,5.40948,5.06996,5.34523,3008448.623905
1995-09-30,5.34523,5.68483,5.27469,5.54996,2093264.9800011
1995-10-31,5.54996,5.59662,5.15778,5.18136,2132190.1658511
1995-11-30,5.18136,5.70862,5.11102,5.70862,1688268.9831765
1995-12-31,5.68483,5.87209,5.64387,5.74928,3040389.8740825
1996-01-31,5.74928,5.79614,5.30416,5.77257,7638543.4952678
1996-02-29,5.74928,6.1002,5.65546,5.95991,2891278.1141555
1996-03-31,6.00668,6.35798,5.72581,5.97739,4379872.2946037
1996-04-30,6.02435,6.35798,5.93053,6.16454,2009574.8125056
1996-05-31,6.16454,6.33489,5.90146,5.93053,3184542.3373185
1996-06-30,5.93053,6.52263,5.90146,6.39856,3542389.3884479
1996-07-31,6.39856,6.66821,6.39856,6.56831,2476032.700586
1996-08-31,6.59238,6.93652,6.59238,6.88523,2208550.3055405
1996-09-30,6.86135,7.10145,6.81509,7.0487,3687425.4045426
1996-10-31,7.10145,7.44765,7.0487,7.2774,3806282.6044844
1996-11-30,7.30029,8.06716,7.2774,7.94425,3873597.5244702
1996-12-31,7.91488,8.6117,7.91488,8.28308,8694629.3901059
1997-01-31,8.23947,8.73999,7.98502,8.63577,8089677.6451739
1997-02-28,8.63577,9.19082,8.48899,9.09248,4360905.4277642
1997-03-31,9.09248,9.81807,8.9579,9.04483,4298559.9836496
1997-04-30,9.03245,9.36913,8.40058,8.90445,3585596.9554922
1997-05-31,8.90445,9.61767,8.70482,9.61767,4042016.135862
1997-06-30,9.61767,9.8004,9.21459,9.8004,7030803.6728242
1997-07-31,9.82987,10.7562,9.72475,10.4075,3885892.9564755
1997-08-31,10.4213,10.9351,9.96054,10.0441,6041153.2167853
1997-09-30,10.0333,11.3988,10.0333,11.3988,8119374.3860732
1997-10-31,11.3988,11.4931,9.89274,10.5489,4839331.996159
1997-11-30,10.5489,10.6266,10.1688,10.4468,4192985.596212
1997-12-31,10.4213,10.8496,10.156,10.6571,5943445.2999609
1998-01-31,10.6679,11.0491,10.5323,10.773,8009552.2266546
1998-02-28,10.8368,10.8368,10.1001,10.1109,9812771.6403352
1998-03-31,10.1001,10.8908,9.88783,10.7307,13806769.528496
1998-04-30,10.7307,11.2229,10.2739,10.491,8406992.2178682
1998-05-31,10.491,10.5715,10.1993,10.4527,4972912.3626315
1998-06-30,10.4075,10.6511,9.64518,10.268,10012430.156375
1998-07-31,10.1855,10.2906,9.02214,9.1029,11790724.828928
1998-08-31,9.1029,9.32119,8.65306,8.65306,9183996.5415948
1998-09-30,8.63949,9.88095,7.65809,9.31539,12132866.422618
1998-10-31,9.31539,9.42513,8.55972,9.27343,8973763.8929555
1998-11-30,9.27343,9.57739,9.16292,9.37501,6728638.7743194
1998-12-31,9.31539,9.49389,8.9579,9.0581,8406494.4559466
1999-01-31,9.01634,9.41825,8.98992,9.16862,8994097.8237228
1999-02-28,9.10968,9.34948,8.9579,9.20772,11584573.013711
1999-03-31,9.15034,9.51059,9.06959,9.43101,9452714.689141
1999-04-30,9.41235,10.6914,9.20232,10.5715,10866483.750304
1999-05-31,10.5617,11.0323,10.5156,10.9606,9594998.2548554
1999-06-30,10.9302,11.0589,10.211,10.4635,9923269.6973324
1999-07-31,10.434,10.5048,9.48898,9.58722,16333550.532966
1999-08-31,9.63241,10.2297,9.44378,10.211,9494703.8082914
1999-09-30,10.1491,10.3544,9.89274,10.0116,7785446.3730479
1999-10-31,10.0224,10.2179,9.48898,9.87702,7569887.9772232
1999-11-30,9.92417,10.1373,9.30164,9.48898,6615592.8684681
1999-12-31,9.45066,10.2788,9.05152,10.2788,10147704.338466
2000-01-31,10.2228,10.718,9.93596,9.99393,9010982.0302524
2000-02-29,9.99393,10.1629,9.39466,9.61767,10197594.537443
2000-03-31,9.63732,9.94776,9.36225,9.87113,13688914.977824
2000-04-30,9.88783,11.1748,9.82299,11.1748,17121153.419326
2000-05-31,11.1581,11.5451,10.885,10.9606,12950171.139467
2000-06-30,10.9016,11.9165,10.824,11.4813,11612918.977371
2000-07-31,11.7603,12.5089,11.6669,12.4529,10247637.424126
2000-08-31,12.4057,12.78,11.6669,11.9843,9568522.2066348
2000-09-30,12.1081,12.6051,11.8644,12.1837,14156102.713139
2000-10-31,12.2456,12.2456,11.2926,11.941,10876525.511769
2000-11-30,11.9312,13.0119,11.8644,12.946,9786980.6509554
2000-12-31,12.946,14.7536,12.7054,14.2536,13239676.191308
2001-01-31,14.2536,14.2536,12.9509,13.5001,15722749.830977
2001-02-28,13.4294,13.4765,12.78,13.4245,10667346.408301
2001-03-31,13.4028,14.1505,13.2948,13.617,14710364.175514
2001-04-30,13.6976,14.0689,13.1582,13.7349,11049774.14426
2001-05-31,13.7418,14.1249,13.2555,14.0395,11262407.043638
2001-06-30,14.0523,15.0455,13.953,14.7978,16023183.250895
2001-07-31,14.7978,14.9393,14.3715,14.842,8554600.51285
2001-08-31,14.9049,15.9335,14.7616,15.4138,14605811.777789
2001-09-30,15.348,15.6761,14.73,15.5121,12810957.614561
2001-10-31,15.5121,15.7852,13.2152,13.788,33489206.284258
2001-11-30,13.84,15.4895,13.7104,15.3843,85727294.29559
2001-12-31,15.1446,15.6182,14.2958,15.4895,45421165.205402
2002-01-31,15.4089,15.6123,14.3882,14.4511,38655262.487474
2002-02-28,14.4324,14.678,13.9402,14.5355,37714649.215094
2002-03-31,14.6171,16.0661,14.5297,15.74,34899222.281608
2002-04-30,15.7184,16.9543,15.2782,15.4453,35854527.165059
2002-05-31,15.4953,16.3481,15.3382,15.849,25242536.157692
2002-06-30,15.8824,16.1044,15.5385,15.9837,40549383.000045
2002-07-31,15.9837,16.0179,12.4529,14.8696,48366741.103647
2002-08-31,14.4275,15.6064,13.6475,15.5179,34530943.606405
2002-09-30,15.5071,15.5071,13.4186,13.5305,41116112.940493
2002-10-31,13.5257,13.7634,12.1768,13.4087,53835340.870878
2002-11-30,13.3086,14.8234,13.2692,14.7616,31765878.167948
2002-12-31,14.7832,15.0867,13.6671,14.1377,47829727.244542
2003-01-31,14.2094,14.9511,13.4608,14.0591,37005620.440162
