Date,Open,High,Low,Close,Volume
2010-02-28,14.8294,14.8294,13.5822,13.9453,7564362.3578213
2010-03-31,13.9976,15.2429,13.7529,14.6291,2459656.0617769
2010-04-30,14.6291,14.8797,13.8901,13.9453,721808.14903681
2010-05-31,13.9897,13.9976,12.8411,13.3839,1244743.1142885
2010-06-30,13.3375,13.7825,13.0366,13.1342,1787688.8372853
2010-07-31,13.0839,13.5388,12.9369,13.3463,999091.68055455
2010-08-31,13.4786,13.5101,12.6567,12.8491,864049.21619511
2010-09-30,12.9911,13.5752,12.6803,13.5101,1390513.0474113
2010-10-31,13.5457,13.747,12.9773,13.4322,888362.1095
2010-11-30,13.4224,13.8516,13.0366,13.1618,625888.26159478
2010-12-31,13.3375,13.8062,13.1895,13.295,384714.29191336
2011-01-31,13.3375,14.0904,13.1332,13.2211,300406.62337452
2011-02-28,13.1746,13.6898,12.3666,13.5891,246392.27262543
2011-03-31,13.596,13.596,12.1238,12.779,1159282.1288434
2011-04-30,12.625,12.777,12.2254,12.5728,650707.88464759
2011-05-31,12.5738,12.7938,11.9867,12.6399,657838.58566021
2011-06-30,12.6024,12.7592,12.2689,12.6083,832723.18317909
2011-07-31,12.6024,12.7326,12.3458,12.4179,597658.34733853
2011-08-31,12.334,12.4682,10.547,11.2703,832838.71756162
2011-09-30,11.2417,11.7331,9.53269,9.56723,723004.03124189
2011-10-31,9.51888,9.77641,8.89764,9.36229,1103065.5306099
2011-11-30,9.06973,9.6886,8.58101,9.62446,735702.67872459
2011-12-31,9.6067,11.8751,9.27279,11.3858,611263.0276105
2012-01-31,11.5851,11.7045,10.2195,10.6891,4315144.3258736
2012-02-29,10.8411,11.1194,10.3418,10.7611,1189279.5164604
2012-03-31,10.8558,10.9447,10.3359,10.8332,796356.20263085
2012-04-30,10.7701,11.3778,10.4809,10.8993,1477894.538601
2012-05-31,10.9072,11.1519,10.473,10.8401,1066649.9040059
2012-06-30,10.6555,11.5506,10.1179,11.514,1103303.6935914
2012-07-31,11.5723,12.5974,11.3068,11.4539,1219484.663274
2012-08-31,11.4627,11.9324,11.0414,11.5723,541808.62144249
2012-09-30,11.6067,12.3576,11.4825,12.1387,949988.55452223
2012-10-31,12.2116,12.2521,11.148,11.811,592891.03387015
2012-11-30,11.8456,11.8456,10.8382,11.5762,708626.08137459
2012-12-31,11.665,12.1643,11.515,12.0459,1273162.5454705
