
date,series_id,value,city
1990-01-01,NEWY636UR,5.0,New York
1990-02-01,NEWY636UR,5.0,New York
1990-03-01,NEWY636UR,5.0,New York
1990-04-01,NEWY636UR,5.0,New York
1990-05-01,NEWY636UR,5.0,New York
1990-06-01,NEWY636UR,5.1,New York
1990-07-01,NEWY636UR,5.3,New York
1990-08-01,NEWY636UR,5.5,New York
1990-09-01,NEWY636UR,5.7,New York
1990-10-01,NEWY636UR,5.9,New York
1990-11-01,NEWY636UR,6.1,New York
1990-12-01,NEWY636UR,6.3,New York
1991-01-01,NEWY636UR,6.5,New York
1991-02-01,NEWY636UR,6.7,New York
1991-03-01,NEWY636UR,6.9,New York
1991-04-01,NEWY636UR,7.1,New York
1991-05-01,NEWY636UR,7.2,New York
1991-06-01,NEWY636UR,7.3,New York
1991-07-01,NEWY636UR,7.4,New York
1991-08-01,NEWY636UR,7.5,New York
1991-09-01,NEWY636UR,7.6,New York
1991-10-01,NEWY636UR,7.8,New York
1991-11-01,NEWY636UR,8.0,New York
1991-12-01,NEWY636UR,8.2,New York
1992-01-01,NEWY636UR,8.4,New York
1992-02-01,NEWY636UR,8.6,New York
1992-03-01,NEWY636UR,8.8,New York
1992-04-01,NEWY636UR,9.0,New York
1992-05-01,NEWY636UR,9.2,New York
1992-06-01,NEWY636UR,9.4,New York
1992-07-01,NEWY636UR,9.6,New York
1992-08-01,NEWY636UR,9.6,New York
1992-09-01,NEWY636UR,9.6,New York
1992-10-01,NEWY636UR,9.6,New York
1992-11-01,NEWY636UR,9.5,New York
1992-12-01,NEWY636UR,9.3,New York
1993-01-01,NEWY636UR,9.2,New York
1993-02-01,NEWY636UR,9.0,New York
1993-03-01,NEWY636UR,8.8,New York
1993-04-01,NEWY636UR,8.7,New York
1993-05-01,NEWY636UR,8.5,New York
1993-06-01,NEWY636UR,8.4,New York
1993-07-01,NEWY636UR,8.3,New York
1993-08-01,NEWY636UR,8.2,New York
1993-09-01,NEWY636UR,8.2,New York
1993-10-01,NEWY636UR,8.1,New York
1993-11-01,NEWY636UR,8.1,New York
1993-12-01,NEWY636UR,8.1,New York
1994-01-01,NEWY636UR,8.0,New York
1994-02-01,NEWY636UR,7.9,New York
1994-03-01,NEWY636UR,7.7,New York
1994-04-01,NEWY636UR,7.6,New York
1994-05-01,NEWY636UR,7.4,New York
1994-06-01,NEWY636UR,7.3,New York
1994-07-01,NEWY636UR,7.2,New York
1994-08-01,NEWY636UR,7.1,New York
